"No","User Name","Review Count","Review Time","Rating","Review Text"
"88.","Mohamad Kurniawan","14","2025-06-06","4","Hotel yang cukup baru di kota ini, dekorasinya bagus, lokasinya strategis, tempat tidurnya nyaman, Wi-Fi-nya bagus, toiletnya bersih dan pancuran air panasnya berfungsi dengan baik, TV pintar yang bagus di kamar, staf yang suportif dan terlatih dengan baik. Layanan kamar mereka juga bagus, mereka menyediakan makanan lezat dengan harga yang wajar. Satu-satunya kekurangannya adalah kamar mereka tidak kedap suara, yang cukup mengecewakan karena seluruh pengalaman menginap akan hancur jika Anda tidak bisa beristirahat dengan baik. Saya mendapatkan kamar dengan pintu penghubung, dan kamar di sebelah saya selalu mengeluarkan suara keras yang mengganggu - berbicara, tertawa, memindahkan furnitur, bahkan menggedor pintu. Saya meminta untuk dipindahkan ke kamar lain sejak hari pertama, tetapi mereka tidak memenuhi permintaan saya, meskipun hotel tidak sepenuhnya terisi. Meskipun demikian, saya sangat menyukai kamarnya karena sangat nyaman dan tempat tidurnya nyaman. Seandainya saja mereka bisa membuat kamar kedap suara, itu akan sempurna. Apakah saya akan merekomendasikan tempat ini? Entahlah. Jika Anda mudah terbangun di tempat tidur, kamar ini pasti tidak cocok untuk Anda. Edit (karena mereka membalas ulasan saya): sungguh tidak menyenangkan menerima tanggapan template dari manajer umum, maksud saya mereka bahkan tidak mau repot-repot menerima umpan balik saya dan menjawabnya dengan cara yang benar, namun mereka memberi saya paragraf yang tidak ada gunanya dan tidak berarti."
"89.","valeria bindi","15","2025-09-06","5","Temuan yang menyenangkan di Palu! Hotel baru, kamar yang sangat nyaman, kamar mandi yang sempurna, dan staf yang sangat perhatian. Satu-satunya kekurangan: banyak staf tidak bisa berbahasa Inggris."
"90.","Traveler “deKat” Cat","22","2025-02-06","5","Saya menikmati masa inap yang luar biasa di hotel ini! Kamarnya sangat bersih, luas, dan sangat nyaman, menjadikannya tempat yang sempurna untuk bersantai setelah seharian bepergian. Lokasinya ideal—cukup dekat dengan bandara dan pusat kota, sehingga mudah untuk bepergian. Stafnya sangat ramah dan bersahabat, selalu berusaha keras untuk memastikan masa inap saya menyenangkan. Salah satu yang paling berkesan adalah sarapannya, yang menawarkan beragam pilihan untuk memenuhi semua selera. Saya sangat merekomendasikan hotel ini bagi siapa pun yang mencari pengalaman menginap yang nyaman dan bebas repot!"
"91.","Julian Somadewa","34","2025-10-06","5","Hotel yang bagus untuk menginap. Stafnya ramah. Bersih!"
"92.","蒋东成","1","2025-03-06","5","Direkomendasikan, sangat bagus. Harga terjangkau dan nilai uang yang luar biasa."
"93.","Hely Tjiphanata","2","2025-03-06","5","Pelayanannya sangat baik… Makan siangnya enak, tempatnya bersih banget"
"94.","Bp Dobson","24","2025-10-06","4","Nilai yang bagus untuk uang yang dikeluarkan"
"95.","Lord Ekho","78","2025-01-06","5","Bagus"
"96.","david samuel","373","2025-12-09","5","N/A"
"97.","Andi Nurrahmah","63","2025-11-06","5","N/A"
"98.","John Doe","11","2025-11-06","5","N/A"
"99.","Lely Dwi Agustin","4","2025-10-06","5","N/A"
"100.","Terry Tangguh","1","2025-10-06","4","N/A"
"101.","Ni Luh Sovyanwati","2","2025-10-06","5","N/A"
"102.","Zyanne Kalengkongan","1","2025-09-06","5","N/A"
"103.","Keith Wong","4","2025-09-06","4","N/A"
"104.","Indra Liwanto","23","2025-09-06","5","N/A"
"105.","Pratiwi Chandra","2","2025-09-06","5","N/A"
"106.","mifda kusumawati","1","2025-09-06","5","N/A"
"107.","Verramanda Limbudatu","1","2025-09-06","5","N/A"
"108.","Ferry Saeran","57","2025-08-06","5","N/A"
"109.","Luzi","31","2025-07-06","5","N/A"
"110.","I Wayan Okadiana","57","2025-07-06","5","N/A"
"111.","Salistiana Siregar","11","2025-02-06","5","keramahan yang baik"
"112.","Johannes Lauw","267","2025-07-06","4","N/A"
"113.","David Ariyanto","65","2025-06-06","5","N/A"
"114.","Stevan Moidady","197","2025-06-06","5","N/A"
"115.","abd afin","3","2025-06-06","5","N/A"
"116.","beni lmg","4","2025-05-06","5","N/A"
"117.","Donny Darmawan","3","2025-04-06","5","N/A"
"118.","Agus Purwanto","6","2025-03-06","4","N/A"
"119.","siska windia nata","28","2025-03-06","5","N/A"
"120.","cornellius bramantya","18","2025-02-06","5","N/A"
"121.","hellen kristanti","1","2025-02-06","5","N/A"
"122.","hermanto 788","20","2025-01-06","5","N/A"
"123.","Dody Sogano","4","2026-01-05","5","N/A"
"124.","Valen Hendro","3","2025-11-06","5","N/A"
"125.","Khayri Aprilia","1","2025-10-06","4","N/A"
"126.","Kristovel Kadoena S.P (Mata tani channel)","7","2025-10-06","5","N/A"
"127.","fazril rahman","5","2025-06-06","5","N/A"
"128.","Hendra Marauwah","1","2025-01-06","5","N/A"
"129.","Raymond Wongkar","8","2025-01-06","5","N/A"
"130.","denny ang","2","2025-01-06","5","N/A"
"131.","Andi Masyal Fhatar","7","2025-01-06","5","N/A"
"132.","Noah Sabian Al Hafizh","3","2025-01-06","5","N/A"
"133.","Liza Monika","5","2025-01-06","5","N/A"
"134.","Desita Chia","3","2025-01-06","5","N/A"
