"No","User Name","Review Count","Review Time","Rating","Review Text"
"926.","Salvito","21","2025-02-20","2","Kali ke 3 menginap di sini. Namun kemarin sangat kecewa karena dapat kamar di pojok, benar2 di pinggir jalan. Saya tidak bisa tidur karena suara kendaraan sangat terdengar sampai ke dalam. Sudah saya cek jendelanya mati (tidak bisa dibuka) yang seharusnya soundproof namun tetap terdengar jelas. Minta ke resepsionis untuk pindah kamar namun tidak diberikan dengan alasan seluruh room sudah penuh. Untuk customer lain, hindari kamar yang menghadap ke jalan raya kalau tidak mau mengalami hal serupa. Mungkin ini yang terakhir kalinya saya menginap di sini. Sekian dan terima kasih"
"927.","JojoYoyo86","29","2025-01-20","2","Sy menginap tgl 4-5 okt, di kamar 678.. Pagi hari sejak pukul 4.00 sdh ada aktifitas di luar kamar dan sprtinya ada acara persiapan wedding.. Sangat berisik dan menggangu (ngobrol di luar kamar dan tertawa terdengar sangat kencang) dr pihak staff hotel juga membiarkan saja krn staff hotel terlihat lalu lalang di area tsb.. Mohon lebih diperhatikan kenyamanan dan ketenangan penghuni lain. Sangat disayangkan hotel sekelas Holiday Inn bisa sprti itu."
"928.","Yt","66","2025-01-20","2","Mohon maaf ya tadi ketika saya hendak berenang jam 7 lebih. Tiba ada orang yg nikah foto Vidio lama banget sampe 20 menit nunggu. Mereka gak ngebolehin untuk nyebur. Hei itu kan arena publik siapapun boleh pake."
"929.","Ridho Rachmad","17","2024-01-20","2","Saya menginap pada tanggal 17-19 Oktober 2023. Secara keseluruhan layanan dari hotel ini sangatlah baik, apalagi untuk makanannya. Keramahan semua staff dari awal check in sudah terasa kehangatannya. Namun itu semua jadi menurunkan penilaian saya semenjak saya minta bantuan ke receptionist pada hari Rabu pagi tgl 19 pukul 05.24WIB untuk mendampingi turun saudara saya yang tuna netra. Namun ditunggu tidak kunjung tiba tanpa ada konfirmasi kembali via telpon kamar atau meminta maaf ada kendala atau apapun. Akhirnya saya yang menemani turun sendiri, saat saya lihat melewati di reception ada 2 staff receptionist (laki-laki) yg sepertinya sedang tidak sibuk dan asyik ngobrol bercanda, dan terlihat annoying. Tentunya satu diantara mereka adalah yang sudah menerima telepon saya sebelumnya. Entah permintaan telepon saya itu dianggap tidak penting atau diacuhkan. Layanan dan keramahan tiap personil staff hotel itu ternyata belum standar dari hotel. Karena diantara sedikit orang yang kurang, merusak kualitas orang lain utk penilaian sebuah hotel. Mohon bisa lebih aware jika ada permintaan bantuan apalagi untuk penginap disabilitas. Terima kasih."
"930.","Matt G","21","2024-01-20","2","Fasilitas hotel ini baik dan bersih, dan lokasinya juga cukup baik kalau tujuannya Bandung utara. Namun, sarapannya kurang enak. Kayanya cuma fokus pada quantitas bukan qualitas. Juga, hotel punya beberapa kebijakan yang tidak enak untuk pelanggannya. Kalau dijemput, hotel hanya kasih 3 menit saja bebas parkir. Lebih dari itu, harus bayar. Jangka waktu itu tidak cukup untuk teman turun dari kamar, khususnya kalau teman nginap di lantai atas. Yang terakhir, orang di meja depan tidak bersedia memberikan bill kalau hotel dibooking melalui aplikasi online seperti Agoda atau Traveloka. Saya sudah mengginap di hotel-hotel di seluruh Indonesia, dari Sumatra Utara sampai Papua dan tak pernah menginap di hotel yang pelit dengan bill. Setiap kali saya booking hotel dengan Agoda, saya selalu diberi bill kecuali Holiday Inn ini. Mungkin bagi mereka lebih hemat, ya, kalau tidak harus pakai kertas untuk bill."
"931.","ruben ritonga","2","2025-01-20","2","Sarapan 4 april di holiday inn. Posisi sepi hanya terisi 4 meja (krn puasa). Saya ke egg station minta telur rebus. Sampai 30 menit tidak diantar krn asik ngobrol bergerombol (3-4 orang). Akhornya saya ambil sendiri dan ga bisa dimakan lgsung jg krn telur masih panas2nya tidak bisa dikupas. Pelayanan staff khususnya egg station sangat mengecewakan"
"932.","intan rahmadani soleh","5","2024-01-20","2","saya bayar kamar 1jt/hari. shower kamar rusak, blower kamar mandi ga berfungsi, handuk semua warna berbeda&bolong (this was shocking part), hairdryer gabisa dipake padahal sudah sampe minjem kamar sebelah. jadi isinya kecewa aja disini & tidak puas. minta konfirmasi masalah biata extend dll dll ditunggu sampe hampir 2 jam gaada kabar 🥲🙏🏻 im sorry but this is literally not really worth it for the price & the service."
"933.","Febby S. Kusuma","31","2023-01-20","2","Untuk kamar sebenernya oke. Hanya saja sarapannya kurang memuaskan. Gelas habis sehingga harus menunggu gelasnya dicuci dahulu. Dan lumayan lama waktu yg dibutuhkan. Alat makan banyak yg habis juga. Sarapan jam 9 sudah byk yg habis dan tidak di refill lagi sampai saya bingung mencari apa yg bisa dimakan. Suara antar kamar terdengar sekali. Bahkan jam 4 pagi sy terbangun krn mendengar suara alarm hp dr kamar sebelah."
"934.","Nanny Wong","1","2024-01-20","2","Banyak Kutu di Kamar Kamar Kotor Sekali Area Resto , bau Weight Scale Tidak Ada , Kosong .. Hotel kosong ??? Selimut Tambahan Tidak Ada , Dikasih tau pake seprei aja ??? Sampah masih ada di Suite Room ga dibersihkan Tidak Rekomended Wlpn Breakfast banyak yg disini makan tapi kutu di dlm resto WAW Air Shower kecil Sekali Exhaust berisik sekali Semoga kalian dapat memperbaiki"
"935.","Agus RH","104","2023-01-20","2","Pernah bikin acara full board di hotel ini selama 4 hari tak ada satupun makan siang dan makan malam yg bisa saya makan. Menu yg di sajikan aneh dan tidak enak, pendapat sy ini juga mewakili rekan2 sy yg lain"
