User Name,Review Count,Rating,Review Text
danil agustaf,11,5,tooth brush gigi perlu di tingkatkan kualitas nya agar lebih bagus dan lembut serta aman bagi yang menggunakan ezii
puspadewi,1,5,seru menginap disini 1 kamar nyaman dan bersih fasilitasnya lengkap 2 staf nya yang ramah ramah dan gercep membantu ketika butuh bantuan 3 mudah akses kemana saja karna dekat dengan stasiun lrt dan busway 4 lokasi nya strategis tepat disamping jalan tol sehingga memudahkan untuk beristirahat saat perjalanan jauh 5 makanan nya bervariatif proses check masuk nya juga sangat baik diberi prioritas cepat pada saat check masuk sehingga bisa masuk lebih awal dan dapat kamar yang view nya langsung ke lrt dibantu proses check masuk dan check keluar dengan resepsionis bernama kak andin harper bikin ketagihan next kesini lagi
Devon,1,5,hotel nyaman bersih dan tenang pelayanan baik fasilitas sesuai harga lokasi strategis akan menginap lagi jika berkunjung ke sini
Yahya Muhaimin,2,5,ezii hotelnya nyaman makanannya enak dan lengkap ada khususnya saya suka dessert2 nya kamar juga fasilitas lengkap bersih pokoknya bintang 5 semoga bisa berkunjung kesini lagi
Aan Supriatin,1,5,saya sangat merekomendasikan hotel ini karena kamar dan kamar mandinya bersih dan nyaman fasilitas nya kelas atas dan stafnya ramah
"Sounda Daniawijaya, SH, MKn.",7,5,terima kasih kak sherly atas pelayanannya selama ini di harpers hotel ramah pelayanannya baik memuaskan pelanggan semoga next trip bisa kesini lagii
Fatimahh,1,5,menginap disini sangat nyaman dan hangat pelayanan sangat baik kamar dan kamar mandinya bersih fasilitas oke dan untuk ametisnya cukup lengkap untuk akses pergi2 juga sangat mudah karna disamping hotel langsung ada lrt
nana tailor,144,4,room 4 5 sempat beberapa kali ganti akses door dan akhirnya diperbaiki teknisi teknisi terampil namun perlu improvement di appearance yang bersih amenities kamar lengkap dan happy karena sudah smart tv fasilitas hotel lengkap resto yang rasanya kurang namun sangat niat untuk menyediakan side dish gym dan pool yang dingin perlu rutin deep cleaning di sofa kamar kerak lantai carpet dan ac service end to end baik saja belum excellent melalukan tugas sesuai sop general perlu lebih senyum dan sapa yang tulus agar tamu juga merasa welcome
KORNELIS BOLI BALAWANGA,1,5,kamarnya sangat luas bersih dan semua fasilitas lengkap baik di tempat tidur ruang tamu maupun di kamar mandi cocok untuk liburan bersama keluarga keren de
Irvan Tanriliwang,2,5,keren petugasnya melayani dengan baik ramah makanannya enak dan bervariasi laundry klo kepepet nanti ada yang bantu tunjukin tempat yang cepat dan murah saya dpt 4 jam paling suka karena dekat gereja jalan kaki bentar kamar ya sesuai harga tidak sempit kok teh kopi pemanas air tersedia wifi ada amenity di kamar mandi standar lumayan lah sesuai harga air lancar ac lancar tv ada pokoknya puas disini
Viola Marklee,2,5,kebersihan kamar dan kamar mandinya sangat terjaga bathroom selalu bersih wangi dan perlengkapannya lengkap kamar juga rapi dan nyaman setiap kali dibersihkan selain itu pelayanan cleaning service sangat memuaskan mereka cepat tanggap saat diminta bantuan dan selalu ramah responnya cepat jadi tidak perlu menunggu lama jika ada permintaan tambahan tq harper
Angelica Kayla,2,5,menginap di hotel ini sangat nyaman kamar dan bathroomnya bersih fasilitas serta amenitiesnya cukup lengkap staf hotelnya juga sangat ramah untuk lokasi hotel cukup strategis karna akses untuk berpergian sangat gampang karna ada lrt disamping hotel persis
Frasstyo Riko,2,5,menginap di hotel ini sangat menyenangkan lokasinya strategis dekat dengan stasiun kereta dan pusat perbelanjaan kamarnya bersih nyaman dan memiliki pemandangan yang indah stafnya ramah dan membantu sarapan prasmanannya juga enak dengan banyak pilihan sangat merekomendasikan hotel ini untuk penginapan thanks ezii sudah membantu bawa barang barang dan dipanggil kan taxi
Selly Verlita,1,5,menginap di hotel ini sangat menyenangkan dan seru sekalii lokasinya cukup strategis karena letaknya dekat dengan stasiun kereta dan pusat perbelanjaan kamarnya bersih nyaman dan memiliki pemandangan yang indah serta servis room yang sangat memuaskan stafnya ramah dan membantu sarapan nya sanga menarik juga enak dengan banyak pilihan sangat merekomendasikan hotel ini untuk penginapan tidak lupa berterima kasih terhadap salah satu staff yang sangat membantu selama kami menginap disana yang bernama ezii kami ucapakn terimakasih sekali lagi
intan trihesti,28,5,hotelnya bagus bersih nyaman pelayanannya top banget cepat sigap ramah sangat membantu semua staffnya ramah makanan dan minuman banyak macemnya dan enak2 cocok untuk dewasa lansia anak2 balita kamarnya bersih nyaman ac dingin kurangnya hanya lokasinya kurang strategis tidak di pinggir jalan raya besar tapi ini masuk2 ke dalam jalan kecil terimakasih mas ezi staff yang sudah membantu
Roma Juwyta,7,5,pengalaman menginap yang menyenangkan dan mengesankan di hotel ini nyaman pelayanan prima makanan di resto enak dan petugasnya semua cepat tanggap dan ramah helpful semua fasilitas dalam kondisi bagus
Tanti Rostianti,1,5,kamarnya nyaman dan bersih semuanya aman dan nyaman pelayanan baik dan ramah staffnya cekout dibantu mas ezii reception
Suti Suryawati,1,5,pelayanannya sangat amat ramah sekali dan fast respon untuk kamar sangat bersih banyak spot instagrammable lokasi startegis dekat dengan fasilitas umum next time staycation disini lagi
Rahma Yanti,4,5,untuk makanan nya enak dan bervariasi saya suka juice detox nya dan nasi goreng ikan asin nya terasa pelayanan nya sangat ramah terimakasih mba nurul sudah sangat membantu
ADI KURNIAWAN,2,5,terima kasih mas ezii pengalaman yang menyenangkan menginap di hotel ini kamarnya luas menu makan pagi enak dan variasinya banyak
Inne Herlina,1,5,kamarnya nyaman dan luas ac nya sangat dingin pelayanan baik waktu cekout dibantu mas ezii
Wahyu Purnamahadi,23,5,kamarnya cukup luas untuk liburan bareng keluarga pelayanan baik reception dibantu mbak aya dan mas ezii
Haifan Yudo Armananto,5,5,hotel yang sangat nyaman kamar bersih pelayanan ramah dan fasilitas lengkap lokasi strategis dekat dengan pusat kota jadi mudah kemana mana sarapan juga enak dengan banyak pilihan menu sangat direkomendasikan untuk liburan maupun perjalanan bisnis
Bima Nugraha,1,5,pengalaman nginep di hotel ini bener bener menyenangkan dari awal check masuk sampai check keluar semuanya lancar banget front office nya ramah ramah apalagi pak ezi super helpful dan selalu senyum tiap kali ditanya ini itu kamar bersih nyaman dan fasilitasnya lengkap lokasi juga strategis gampang cari makan atau transportasi pokoknya recommended banget buat yang lagi cari tempat nginep
LisNa Cs,1,5,nurul staf yang ramah overall semua oke makanannya juga enak hanya kamarnya kurang terang mungkin karena konsepnya seperti itu jadi kurang efektif untuk yang inging kerja di kamar
Nadhiya hanifah,2,5,pengalaman yang menyenangkan banget sih nginep disini suasana hotel yang nyaman pelayanan yang ramah kamar yang bersih kamar mandinya juga bersih sama aminitiesnya juga lengkap ditambah lokasinya strategis banget bakal balik lagi sih kesini
Edwin,11,5,review terhadap kamar cukup baik bersih handuk bersih namun seperti sedikit berwarna breakfast sangat enak dan bervariasi kenyamanan dan privasi oke teri akasih kepada semua staff harper terutama ibu sherly atas layanan di harper hotel
Fabiola Mutiara,2,5,kamarnya nyaman tmpt yang strategis dan untuk semuanya bagus banget deh terimakasih untuk all staff yang sangat ramah sherly
budhie rachmadiani,7,5,pelayanan dari team service bik ramah dan cepat tamggap makanan bumbunya terasa tidak terlalu asin an kak serly cukup baik dalam memberi pe jelasan informasi dan ramah
nidia pradita,10,5,lokasi hotel sangat strategis samping halte lrt pelayanan di hotel harper baik staff ezii ramah dan responsif pada saat proses check masuk dan check keluar next bakal nginep lagi kalau ke jakarta
Mohammad Sultan,16,5,service nya bagus sekali makanannya enak dan staff nya ramah ramah cocok buat istirahat yang nyaman selama di jakarta saya dibantu banyak oleh mas ezii yang ramah banget terima kasih mas ezii
fenny hutagalung,6,5,hotel strategis saat banget sbelah lrt station cawang hotlenya bersih pelayanan ramah thank you kak sherly
